LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Frankston,145.138867,-38.13557,FRANKSTON,John Paul College,1670,250.0,253.0,242.0,224.0,177.0,172.0,1318.0,John Paul College,28,4.6,67,80,28,96,FRANKSTON
Monash,145.166144,-37.915204,MULGRAVE,Mazenod College,1673,280.0,256.0,248.0,241.0,228.0,222.0,1475.0,Mazenod College,33,13.5,80,96,39,100,MULGRAVE
Cardinia,145.373106,-38.052002,BEACONSFIELD,St Francis Xavier College,1766,436.0,507.0,503.6,471.0,426.0,485.0,2828.6,St Francis Xavier College,27,3.6,72,80,33,99,BEACONSFIELD
Wodonga,146.8623901,-36.12961895,WODONGA,Catholic College Wodonga,1800,220.0,227.0,227.0,218.0,194.0,164.0,1250.0,Catholic College Wodonga,28,3.8,64,87,19,100,WODONGA
Maribyrnong,144.8501,-37.785858,BRAYBROOK,Caroline Chisholm Catholic College,1801,296.0,276.0,261.0,258.0,250.0,224.0,1565.0,Caroline Chisholm Catholic Coll,31,5.5,78,82,37,99,BRAYBROOK
Banyule,145.08073,-37.703396,WATSONIA,Loyola College,1810,253.0,241.0,247.0,249.0,225.0,240.0,1455.0,Loyola College,30,4.7,82,92,30,99,WATSONIA
Melton,144.550411,-37.677246,MELTON,St Francis Catholic College,1811,485.0,399.0,349.0,241.0,215.0,175.0,1864.0,St Francis Catholic College,29,3.0,72,81,18,99,MELTON
Greater Dandenong,145.195459,-37.940226,NOBLE PARK NORTH,Nazareth College,1899,192.0,176.0,164.0,175.0,148.0,125.8,980.8,Nazareth College,28,1.8,69,94,16,100,NOBLE PARK NORTH
Swan Hill,143.556795,-35.341915,SWAN HILL,St Mary MacKillop College,1917,120.0,118.0,92.6,94.0,64.0,60.0,548.6,St Mary MacKillop College,29,5.0,69,93,8,100,SWAN HILL
Casey,145.256866,-38.108411,CRANBOURNE,St Peter's College,1920,420.0,392.0,348.0,331.0,305.0,313.0,2109.0,St Peter's College,26,2.3,75,70,31,98,CRANBOURNE
Hume,144.918263,-37.687856,BROADMEADOWS,Penola Catholic College,1949,223.0,237.0,218.0,236.0,231.0,245.0,1390.0,Penola Catholic College,28,3.1,76,77,29,99,BROADMEADOWS
Wyndham,144.702055,-37.847676,TARNEIT,Thomas Carr College,1962,256.6,255.0,249.0,219.0,204.0,170.0,1353.6,Thomas Carr College,26,2.0,86,84,12,100,TARNEIT
Latrobe,146.514247,-38.200895,TRARALGON,Lavalla Catholic College,2001,258.0,265.0,250.0,247.0,198.0,169.0,1387.0,Lavalla Catholic College,30,4.4,70,84,17,100,TRARALGON
Merri-bek,144.9427365,-37.74119138,PASCOE VALE SOUTH,Antonine College,2010,88.0,78.0,91.0,91.0,67.0,78.0,493.0,Antonine College,26,3.3,75,90,5,95,PASCOE VALE SOUTH
Whittlesea,145.091027,-37.643315,SOUTH MORANG,Marymede Catholic College,2032,385.0,329.0,231.0,244.0,200.0,175.0,1564.0,Marymede Catholic College,28,3.3,77,92,20,100,SOUTH MORANG
Greater Bendigo,144.2216905,-36.73171249,MAIDEN GULLY,Marist College Bendigo,2098,163.0,166.1,136.8,149.0,92.2,102.0,809.1,Marist College Bendigo,27,2.8,64,90,12,99,MAIDEN GULLY
Greater Shepparton,145.400337,-36.436121,KIALLA,St Anne's College,2224,34.0,53.0,51.0,43.0,45.0,35.0,261.0,St Anne's College,25,0.7,60,69,10,96,KIALLA
Greater Geelong,144.356711,-38.219125,CHARLEMONT,Iona College Geelong,2231,311.0,260.0,260.0,227.0,154.2,144.0,1356.2,Iona College Geelong,33,6.1,-,93,-,-,CHARLEMONT
Yarra,144.998477,-37.821915,RICHMOND,Ignatius Learning Centre,2240,0.0,0.0,0.0,0.0,28.0,5.0,33.0,Ignatius Learning Centre,-,-,-,-,-,-,RICHMOND
Alpine,146.960928,-36.733105,Bright,Bright P-12 College,776,49.0,36.0,41.0,52.0,36.7,52.0,266.7,Bright P-12 College,29,5.1,44,100,4,97,BRIGHT
Golden Plains,144.160668,-38.042004,Bannockburn,Bannockburn P-12 College,932,83.0,76.0,75.0,82.0,75.0,48.0,439.0,Bannockburn P-12 College,23,1.5,40,86,15,95,BANNOCKBURN
Loddon,144.113679,-36.04736,Pyramid Hill,Pyramid Hill College,1712,9.0,8.0,15.0,15.0,0.0,0.0,47.0,Pyramid Hill College,I/D,I/D,I/D,79,-,I/D,PYRAMID HILL
Loddon,144.113679,-36.04736,Pyramid Hill,Pyramid Hill College,1712,58.0,59.0,37.0,39.0,33.0,42.0,268.0,Pyramid Hill College,I/D,I/D,I/D,79,-,I/D,PYRAMID HILL
East Gippsland,149.754296,-37.559427,Mallacoota,Mallacoota P-12 College,3515,13.0,7.0,11.0,7.0,8.0,7.0,53.0,Mallacoota P-12 College,33,18.2,50,75,< 4,100,MALLACOOTA
East Gippsland,149.153022,-37.5697,Cann River,Cann River P-12 College,3920,2.0,4.0,4.0,5.0,2.0,2.0,19.0,Cann River P-12 College,24,0.0,100,92,-,100,CANN RIVER
Corangamite,143.216741,-37.939591,Derrinallum,Derrinallum P-12 College,5375,4.0,2.0,5.0,6.0,3.0,3.7,23.7,Derrinallum P12 College,I/D,I/D,-,95,< 4,100,DERRINALLUM
Buloke,142.853519,-35.509276,Sea Lake,Tyrrell College,5403,12.0,9.0,15.0,14.4,6.8,10.4,67.6,Tyrrell College,28,3.3,63,83,< 4,75,SEA LAKE
West Wimmera,141.2985627,-37.03342876,Edenhope,Edenhope College,5432,13.0,14.0,6.0,15.0,14.0,11.7,73.7,Edenhope College,25,0.0,33,83,< 4,100,EDENHOPE
Mildura,141.1773365,-35.26557452,Murrayville,Murrayville Community College,5433,3.0,8.0,9.0,10.0,7.0,4.5,41.5,Murrayville Community College,28,0.0,-,62,< 4,86,MURRAYVILLE
Whittlesea,145.119368,-37.597553,Doreen,Hazel Glen College,5552,211.0,237.0,247.0,227.0,204.7,178.0,1304.7,Hazel Glen College,26,2.7,58,91,43,99,DOREEN
Colac-Otway,143.660507,-38.753524,Apollo Bay,Apollo Bay P-12 College,6203,31.0,20.0,32.0,25.4,26.4,24.0,158.8,Apollo Bay P-12 College,30,10.7,64,85,< 4,100,APOLLO BAY
Loddon,144.141446,-36.372222,Dingee,East Loddon P-12 College,6217,28.0,18.0,23.0,38.0,18.0,19.7,144.7,East Loddon P-12 College,28,1.7,65,64,< 4,88,DINGEE
Colac-Otway,143.383051,-38.681844,Lavers Hill,Lavers Hill K-12 College,6231,2.0,2.6,4.0,8.0,7.0,12.0,35.6,Lavers Hill K-12 College,I/D,I/D,-,83,-,-,LAVERS HILL
Campaspe,145.014399,-36.583317,Rushworth,Rushworth P-12 College,6238,29.0,24.0,28.0,20.0,23.0,15.0,139.0,Rushworth P-12 College,-,-,-,52,< 4,40,RUSHWORTH
Banyule,145.072218,-37.724746,Macleod,Macleod College,6242,82.0,70.0,89.0,86.0,74.0,64.1,465.1,Macleod College,28,1.8,78,89,9,97,MACLEOD
Yarra Ranges,145.349444,-37.868244,Sassafras,Sherbrooke Community School,6252,7.0,11.0,15.0,24.0,19.0,14.0,90.0,Sherbrooke Community School,26,0.0,42,79,< 4,92,SASSAFRAS
Mildura,141.593839,-34.390411,Werrimull,Werrimull P-12 School,6257,3.0,4.0,2.0,0.0,5.0,0.0,14.0,Werrimull P-12 College,I/D,I/D,I/D,70,-,I/D,WERRIMULL
Corangamite,143.145435,-38.239731,Camperdown,Camperdown College,6259,30.0,42.0,26.0,33.0,30.0,28.0,189.0,Camperdown College,28,0.0,56,81,6,100,CAMPERDOWN
Corangamite,142.975889,-38.484056,Timboon,Timboon P-12 School,6260,45.0,37.0,44.4,38.7,47.7,29.2,242.0,Timboon P-12 School,24,1.6,53,99,< 4,93,TIMBOON
Darebin,145.025701,-37.76204,Thornbury,Virtual School Victoria,6261,53.5,137.4,272.6,399.9,886.2,1049.3,2798.9,Virtual School Victoria,27,3.3,34,82,-,90,THORNBURY
Loddon,143.61877,-36.417022,Wedderburn,Wedderburn College,6262,16.0,27.0,19.0,17.0,21.5,13.7,114.2,Wedderburn College,20,0.0,50,72,< 4,100,WEDDERBURN
Whittlesea,145.005071,-37.609492,Wollert,Edgars Creek Secondary College,7081,218.0,203.0,230.0,263.0,237.7,183.8,1335.5,Edgars Creek Secondary College,26,1.0,61,67,26,88,WOLLERT
Hume,144.890252,-37.598288,Craigieburn,Elevation Secondary College,7082,211.4,253.0,220.0,198.4,177.2,115.9,1175.9,Elevation Secondary College,30,9.4,-,66,-,-,CRAIGIEBURN
Corangamite,143.0636059,-38.32403633,Cobden,Cobden Technical School,7088,23.0,16.4,23.0,16.0,27.0,13.0,118.4,Cobden Technical School,24,0.0,20,77,5,100,COBDEN
Casey,145.271028,-38.075386,Cranbourne,Lyndhurst Secondary College,7108,140.2,133.0,149.0,139.0,161.6,119.0,841.8,Lyndhurst Secondary College,27,1.5,46,51,26,98,CRANBOURNE
Hepburn,144.151851,-37.33466597,Daylesford,Daylesford Secondary College,7115,64.0,88.0,75.0,80.0,69.8,48.5,425.3,Daylesford Secondary College,29,3.5,49,83,13,97,DAYLESFORD
Mornington Peninsula,145.013582,-38.342636,Dromana,Dromana Secondary College,7122,278.0,287.0,324.0,316.0,296.2,306.9,1808.1,Dromana Secondary College,32,8.7,58,100,53,100,DROMANA
Greater Geelong,144.327441,-38.210399,Grovedale,Grovedale College,7183,147.0,128.0,121.0,119.0,109.0,90.6,714.6,Grovedale College,25,1.1,49,91,21,98,GROVEDALE
Mildura,142.1647031,-34.23232674,Irymple,Irymple Secondary College,7198,144.0,166.0,156.0,161.0,0.0,0.0,627.0,Irymple Secondary College,-,-,-,92,-,-,IRYMPLE
Whittlesea,145.0126913,-37.66678514,Lalor,Peter Lalor Secondary College,7217,0.0,0.0,0.0,25.0,58.0,32.0,115.0,Peter Lalor Secondary College,-,-,23,52,19,86,LALOR
Yarra Ranges,145.3414068,-37.7458221,Lilydale,Lilydale Heights College,7219,195.0,155.0,160.0,169.0,120.0,88.0,887.0,Lilydale Heights College,26,3.7,64,71,11,95,LILYDALE
Melton,144.568689,-37.708365,Melton South,Staughton College,7247,309.0,296.0,298.0,288.0,285.0,222.2,1698.2,Staughton College,25,1.5,53,67,45,95,MELTON SOUTH
Mildura,142.147985,-34.19573,Mildura,Chaffey Secondary College,7250,179.0,160.0,175.0,182.8,0.0,0.0,696.8,Chaffey Secondary College,I/D,I/D,I/D,83,-,I/D,MILDURA
Glen Eira,145.059798,-37.927357,Bentleigh East,Bentleigh Secondary College,7255,166.0,162.0,165.0,154.8,155.6,129.1,932.5,Bentleigh Secondary College,30,5.6,64,74,16,92,BENTLEIGH EAST
Ballarat,143.876673,-37.607965,Mount Clear,Mount Clear College,7267,158.0,169.0,181.3,177.0,172.7,142.5,1000.5,Mount Clear College,26,1.4,48,77,20,86,MOUNT CLEAR
Moonee Valley,144.886183,-37.746679,Niddrie,Rosehill Secondary College,7275,206.0,191.0,182.0,208.0,179.0,160.0,1126.0,Rosehill Secondary College,29,1.7,70,95,23,99,NIDDRIE
Whittlesea,145.1201751,-37.5150463,Whittlesea,Whittlesea Secondary College,7408,112.0,145.0,135.0,153.8,114.2,71.2,731.2,Whittlesea Secondary College,24,1.7,75,99,12,97,WHITTLESEA
Murrindindi,145.701477,-37.19449,Alexandra,Alexandra Secondary College,7505,49.0,57.0,53.0,74.9,56.6,42.6,333.1,Alexandra Secondary College,24,2.6,51,51,5,91,ALEXANDRA
Boroondara,145.045067,-37.83988,Hawthorn East,Auburn High School,7526,170.0,148.0,139.0,160.0,115.9,127.7,860.6,Auburn High School,31,8.6,86,94,-,99,HAWTHORN EAST
Boroondara,145.0767724,-37.79785922,Balwyn North,Balwyn High School,7550,350.0,345.0,337.0,301.8,459.4,413.8,2207.0,Balwyn High School,32,14.7,92,78,< 4,100,BALWYN NORTH
Knox,145.261998,-37.83903,Bayswater,Bayswater Secondary College,7560,63.0,62.0,35.4,28.0,38.6,36.4,263.4,Bayswater Secondary College,26,0.0,44,53,9,93,BAYSWATER
Pyrenees,143.382486,-37.438844,Beaufort,Beaufort Secondary College,7565,29.0,47.0,36.0,36.0,34.9,32.6,215.5,Beaufort Secondary College,27,0.0,32,60,8,88,BEAUFORT
Bayside,145.034078,-37.978396,Beaumaris,Beaumaris Secondary College,7566,121.0,125.0,166.0,168.0,168.8,150.8,899.6,Beaumaris Secondary College,30,5.9,77,72,10,99,BEAUMARIS
Indigo,146.690764,-36.34722,Beechworth,Beechworth Secondary College,7575,72.0,62.0,42.9,55.0,37.3,26.2,295.4,Beechworth Secondary College,28,6.5,60,50,-,96,BEECHWORTH
Greater Geelong,144.330562,-38.175654,Belmont,Belmont High School,7585,235.0,230.0,195.0,246.6,186.1,201.8,1294.5,Belmont High School,29,4.5,55,94,12,97,BELMONT
Casey,145.365438,-38.031398,Berwick,Berwick Secondary College,7603,240.0,287.0,301.0,310.0,275.0,255.0,1668.0,Berwick Secondary College,29,2.6,61,94,36,97,BERWICK
Whitehorse,145.149893,-37.81037,Blackburn,Blackburn High School,7610,213.0,206.2,212.0,235.0,241.0,181.0,1288.2,Blackburn High School,31,8.1,78,84,17,100,BLACKBURN
Whitehorse,145.137208,-37.820003,Box Hill,Box Hill High School,7635,253.0,244.0,259.0,249.0,295.0,234.0,1534.0,Box Hill High School,32,11.8,89,87,10,98,BOX HILL
