Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y,Total_Enrolments,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Median_VCE_Study_Score,Pct_Study_Scores_40plus,Pct_VCE_VTAC_Applications,X,Y,LGA_Name
Catholic,2,1605,St Mary of the Angels College,Secondary,O,Chapel Street,,NATHALIA,VIC,3638,PO Box 141,,NATHALIA,VIC,3638,03 5866 2222,NORTH-EASTERN VICTORIA,Goulburn,490,Moira,Non Metro,145.208748,-36.057656,574,93,106,96,95,101,83,,,,145.208748,-36.057656,Moira
Catholic,2,1608,Aquinas College,Secondary,O,46 Great Ryrie Street,,RINGWOOD,VIC,3134,PO Box 190,,RINGWOOD,VIC,3134,03 9259 3000,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,441,Maroondah,Metro,145.234935,-37.823058,1672,302,293,296,270,287,224,29,5.1,76,145.234935,-37.823058,Maroondah
Catholic,2,1625,Ave Maria College,Secondary,O,14-22 Vida Street,,ABERFELDIE,VIC,3040,14-22 Vida Street,,ABERFELDIE,VIC,3040,03 9331 9300,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley,Metro,144.897964,-37.756618,834,165,140,140,131,134,124,31,10.5,98,144.897964,-37.756618,Moonee Valley
Catholic,2,1634,Marian College,Secondary,O,196 Glengala Road,,SUNSHINE WEST,VIC,3020,196 Glengala Road,,SUNSHINE WEST,VIC,3020,03 9363 1711,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank,Metro,144.806129,-37.787731,850,144,147,134,155,150,120,,,,144.806129,-37.787731,Brimbank
Catholic,2,1635,Mount St Joseph Girls' College,Secondary,O,133 Maidstone Street,,ALTONA,VIC,3018,PO Box 139,,ALTONA NORTH,VIC,3025,03 8398 2000,SOUTH-WESTERN VICTORIA,Western Melbourne,311,Hobsons Bay,Metro,144.811674,-37.863902,1226,222,211,211,209,188,185,31,7.1,86,144.811674,-37.863902,Hobsons Bay
Catholic,2,1644,Mater Christi College,Secondary,O,28 Bayview Road,,BELGRAVE,VIC,3160,28 Bayview Road,,BELGRAVE,VIC,3160,03 9754 6611,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges,Metro,145.3588871,-37.9106377,695,136,136,95,105,120,103,31,7.4,73,145.3588871,-37.9106377,Yarra Ranges
Catholic,2,1646,St Joseph's College,Secondary,O,5 Brenock Park Drive,,FERNTREE GULLY,VIC,3156,5 Brenock Park Drive,,FERNTREE GULLY,VIC,3156,03 9758 2000,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,367,Knox,Metro,145.295093,-37.89049,0,0,0,0,0,0,0,28,1.0,65,145.295093,-37.89049,Knox
Catholic,2,1651,Avila College,Secondary,O,35 Charles Street,,MOUNT WAVERLEY,VIC,3149,35 Charles Street,,MOUNT WAVERLEY,VIC,3149,03 9831 9600,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash,Metro,145.133255,-37.874671,1019,168,176,153,166,181,175,32,11.5,92,145.133255,-37.874671,Monash
Catholic,2,1654,Emmanuel College,Secondary,O,423 Blackshaws Road,,ALTONA NORTH,VIC,3025,PO Box 5,,ALTONA NORTH,VIC,3025,03 8325 5100,SOUTH-WESTERN VICTORIA,Western Melbourne,311,Hobsons Bay,Metro,144.842389,-37.831623,2544,447,472,444,420,374,387,28,4.6,74,144.842389,-37.831623,Hobsons Bay
Catholic,2,1657,St Monica's College,Secondary,O,16 Davisson Street,,EPPING,VIC,3076,Augustine House,400 Dalton Road,EPPING,VIC,3076,03 9409 8800,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea,Metro,145.031414,-37.655184,2214,435,429,367,333,333,317,29,3.8,76,145.031414,-37.655184,Whittlesea
